type,text
Reply,"[📻] Marta Lagos: La única manera de desmantelar el autoritarismo que trasunta esta opinión es buscar un consenso histórico valórico y ético, e instalar una ética que no hay, porque tenemos dos éticas, la del golpe y la democracia, que nos tiene paralizados #CooperativaContigo"
Reply,"[📻] Marta Lagos: Más allá del estudio, diría que estamos viviendo el peor momento social, político y económico, de desesperanza, desde el año 90. Y se mira al pasado con una falacia retrospectiva de que Pinochet daba seguridad y orden, que no es cierto #CooperativaContigo"
Reply,[📻] Marta Lagos: El voto más reaccionario del 7 de mayo se produce en quienes vivieron la dictadura y también hasta la muerte de Pinochet. Hay más nostalgia rememorativa de la dictadura entre quienes la conocieron que en quienes no #CooperativaContigo
Reply,"[📻] Marta Lagos: Tenemos susto de enfrentar la problemática, trauma todavía. Qué nos pasa que no somos capaces de llegar a un consenso #CooperativaContigo"
Reply,"[📻] Marta Lagos: A los que recuperamos la democracia se nos pasó la mano con ser demasiado tolerantes con la generación que venía de la dictadura, que se incorporó a la democracia y permaneció en ella, y tiñó la democracia con esta ""blandura"" hacia el régimen #CooperativaContigo"
Reply,[📻] Marta Lagos: Es muy peligroso que no sepamos más de las bases valóricas autoritarias que sostiene la gente #CooperativaContigo
Reply,"[📻] Marta Lagos: Lo que hizo José Antonio Kast en la campaña constituyente fue recoger la demanda autoritaria, porque la promesa de ""reconstruir"" el país no tenía contenido, era solo una frase #CooperativaContigo"
Tweet,Alcalde: Subsidiar la compra del gas seguiría alimentando malas conductas de empresas privadas #CooperativaContigo https://t.co/qnKTvpKMK9 https://t.co/P6vgeAd7JL
Reply,"[📻] Marta Lagos: Es un aspecto oculto que no debería serlo, que deberíamos enfrentar, discutir y solucionar, encontrar un consenso que nos permita caminar para adelante #CooperativaContigo"
Tweet,"Preparan nueva versión de ""The Office"" con una jefa como protagonista #CooperativaContigo https://t.co/uxJWv9VqFv https://t.co/r7ufCrMaXx"
Reply,"[📻] Marta Lagos: Lo que hacen las encuestas es intentar reflejar la opinión representativa del país, y revelar aspectos ocultos, y la opinión sobre Pinochet no debería ser oculto #CooperativaContigo"
