type,text
Tweet,"17:17 hrs. Servicio NO disponible en #L4 entre Rojas Magallanes y Elisa Correa por persona en la vía. 

🔴 Combinación NO disponible en Vicente Valdés hacia Plaza de Puente Alto."
Reply,@NachoEsCoffret Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,@kavevar Sip. Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,@JAN0P @CadenaParraguez @TiareAline @Red_Movilidad @Transantiago @MTTChile @TTISantiago Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,@GigioAndre10 Ya restablecimos y trabajamos en normalizar la frecuencia de trenes.
Reply,@CadenaParraguez @TiareAline @Red_Movilidad @Transantiago @MTTChile @TTISantiago Aún no está disponible.
Tweet,17:16 hrs. Desde este momento el servicio en #L4 se encuentra disponible solo entre Tobalaba / Vicente Valdés y Sótero del Río /  Plaza de Puente Alto por persona en la vía. #AlertaMetro
Reply,"@TiareAline Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, Aline"
Reply,"@javi_jazmin Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, Javiera"
Reply,@TiareAline @Red_Movilidad @Transantiago @MTTChile @TTISantiago Estaremos informando novedades.
Reply,@golem6382 Aún está el servicio interrumpido.
Reply,@nperfil @Red_Movilidad @Transantiago @MTTChile @TTISantiago No está disponible.
Tweet,"15:55 hrs. Servicio NO disponible en #L4 entre Rojas Magallanes y Elisa Correa por persona en la vía. 

🔴 Combinación NO disponible en Vicente Valdés hacia Plaza de Puente Alto."
Reply,@marinita_vidal @mrjackcl Informaremos cuando el servicio vuelva a estar disponible.
Reply,@GigioAndre10 Todavía se encuentra interrumpido.
Reply,"@MANESAN92436922 @Red_Movilidad @Transantiago @MTTChile @TTISantiago Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, mane"
Reply,"@mrjackcl Te pedimos respeto, por favor."
Reply,@Leoarriagada14 Todavía se encuentra suspendido
Reply,@AnDrEsJ2210 @Red_Movilidad @Transantiago @MTTChile @TTISantiago Informaremos cuando vuelva a estar disponible.
Retweet,🔴⚪📢ATENT@S: #BusesApoyo refuerzan por Vicuña Mackenna el tramo afectado en #L4 de @metrodesantiago 🚇entre Rojas Magallanes y Elisa Correa: 210-210v-210e-213e-F13-F15. 🚍🚍 #ALERTA ♦♦♦ https://t.co/7VkHpxxJI1
Reply,@elcarenah Estaremos informando.
Retweet,🔴⚪ATENCIÓN: El servicio de @metrodesantiago en #L4 se encuentra disponible solo entre Tobalaba / Vicente Valdés y Sótero del Río /  Plaza de Puente Alto por persona en la vía. Buses de Apoyo 🚌🚌🚌 refuerzan el tramo afectado. #AlertaMetro 🚇 https://t.co/fyisIPpkoJ
Reply,"@bbyrisssu Informaremos cualquier novedad, Risu"
Reply,@JhoselynPoblete Informaremos cualquier novedad
Reply,"@IvanNunezFlores @valefloresrk Servicio NO disponible desde Rojas Magallanes a Elisa Correa, Iván"
Reply,"@ftsvalentina Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, Valentina"
Reply,"@smardones78 Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, Sergio"
Tweet,"Descarga nuestra aplicación 📱oficial de Metro y recibe notificaciones al instante acerca del estado de la red 🚇. Con esta app podrás tener información más actualizada en tiempo real.

Consíguela como Metro de Santiago Oficial en tu Play Store (android) o App Store (Iphone). https://t.co/uZZeZwIX6C"
Reply,"@Jaaaaaviii1 Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto, Javi"
Reply,@KovenReiz Informaremos cualquier novedad.
Reply,"@luxonstar Hola, el servicio está disponible solo entre Tobalaba / Vicente Valdés y Sotero del Río / Plaza de Puente Alto,"
